ts_iso,wind_kts,wind_dir_deg,gust_kts,hs_m,tp_s,wave_dir_deg,ts
2025-05-18T20:24:04.171505,15.64,133.5,19.69,0.99,4.3,156.8,2025-05-18 20:24:04.171505
2025-05-18T21:24:04.171505,15.33,199.7,23.71,1.23,4.3,170.9,2025-05-18 21:24:04.171505
2025-05-18T22:24:04.171505,19.39,349.5,24.24,0.91,4.6,344.8,2025-05-18 22:24:04.171505
2025-05-18T23:24:04.171505,12.86,55.5,16.8,1.27,6.7,68.5,2025-05-18 23:24:04.171505
2025-05-19T00:24:04.171505,25.71,169.0,29.49,0.74,4.4,202.9,2025-05-19 00:24:04.171505
2025-05-19T01:24:04.171505,14.43,157.4,16.91,0.59,7.3,173.7,2025-05-19 01:24:04.171505
2025-05-19T02:24:04.171505,11.67,245.7,17.37,1.06,6.4,252.4,2025-05-19 02:24:04.171505
2025-05-19T03:24:04.171505,18.39,253.9,23.6,1.14,7.3,244.3,2025-05-19 03:24:04.171505
2025-05-19T04:24:04.171505,12.65,240.6,15.73,0.86,9.0,269.7,2025-05-19 04:24:04.171505
2025-05-19T05:24:04.171505,6.59,201.3,10.58,1.08,7.2,225.1,2025-05-19 05:24:04.171505
2025-05-19T06:24:04.171505,13.26,307.2,16.87,1.43,5.6,273.2,2025-05-19 06:24:04.171505
2025-05-19T07:24:04.171505,10.4,200.5,16.89,1.07,7.4,205.3,2025-05-19 07:24:04.171505
2025-05-19T08:24:04.171505,18.13,8.2,22.2,1.23,4.7,356.7,2025-05-19 08:24:04.171505
2025-05-19T09:24:04.171505,9.02,54.8,15.48,0.77,6.0,68.2,2025-05-19 09:24:04.171505
2025-05-19T10:24:04.171505,18.33,130.3,23.03,0.79,5.8,86.8,2025-05-19 10:24:04.171505
2025-05-19T11:24:04.171505,8.39,95.7,10.39,1.2,4.2,134.7,2025-05-19 11:24:04.171505
2025-05-19T12:24:04.171505,13.22,34.7,20.43,0.53,5.6,24.5,2025-05-19 12:24:04.171505
2025-05-19T13:24:04.171505,19.2,63.6,19.02,1.22,6.5,20.3,2025-05-19 13:24:04.171505
2025-05-19T14:24:04.171505,15.36,210.3,18.77,1.12,6.0,203.1,2025-05-19 14:24:04.171505
2025-05-19T15:24:04.171505,9.88,118.8,15.42,1.11,8.7,129.5,2025-05-19 15:24:04.171505
2025-05-19T16:24:04.171505,22.32,209.2,23.75,0.68,4.1,167.9,2025-05-19 16:24:04.171505
2025-05-19T17:24:04.171505,18.18,281.8,22.51,0.26,4.0,306.9,2025-05-19 17:24:04.171505
2025-05-19T18:24:04.171505,24.98,170.5,38.73,1.21,4.0,178.5,2025-05-19 18:24:04.171505
2025-05-19T19:24:04.171505,10.94,297.5,14.69,0.69,5.7,302.2,2025-05-19 19:24:04.171505
2025-05-19T20:24:04.171505,14.21,101.2,16.1,0.16,5.0,109.7,2025-05-19 20:24:04.171505
2025-05-19T21:24:04.171505,23.84,82.9,29.23,1.49,5.0,53.9,2025-05-19 21:24:04.171505
2025-05-19T22:24:04.171505,11.37,114.2,22.76,0.59,7.7,142.1,2025-05-19 22:24:04.171505
2025-05-19T23:24:04.171505,16.92,59.3,21.45,0.98,4.7,45.6,2025-05-19 23:24:04.171505
2025-05-20T00:24:04.171505,8.87,320.7,10.04,1.09,9.2,317.1,2025-05-20 00:24:04.171505
2025-05-20T01:24:04.171505,16.43,134.5,25.35,1.11,5.2,147.4,2025-05-20 01:24:04.171505
2025-05-20T02:24:04.171505,22.68,44.2,28.23,0.39,3.3,95.9,2025-05-20 02:24:04.171505
2025-05-20T03:24:04.171505,14.1,111.7,17.95,1.73,3.8,131.0,2025-05-20 03:24:04.171505
2025-05-20T04:24:04.171505,13.03,82.7,18.01,0.92,6.7,85.4,2025-05-20 04:24:04.171505
2025-05-20T05:24:04.171505,18.22,209.2,17.07,0.98,4.3,182.9,2025-05-20 05:24:04.171505
2025-05-20T06:24:04.171505,13.33,44.6,21.08,0.34,6.1,59.2,2025-05-20 06:24:04.171505
2025-05-20T07:24:04.171505,12.58,344.0,16.6,1.5,7.1,339.4,2025-05-20 07:24:04.171505
2025-05-20T08:24:04.171505,11.52,38.1,15.85,1.12,6.4,40.8,2025-05-20 08:24:04.171505
2025-05-20T09:24:04.171505,16.14,289.6,28.69,1.94,4.3,245.7,2025-05-20 09:24:04.171505
2025-05-20T10:24:04.171505,12.05,286.9,17.99,1.6,4.5,222.4,2025-05-20 10:24:04.171505
2025-05-20T11:24:04.171505,14.19,234.7,16.0,0.74,4.2,182.0,2025-05-20 11:24:04.171505
2025-05-20T12:24:04.171505,7.66,294.0,19.05,0.36,3.8,21.1,2025-05-20 12:24:04.171505
2025-05-20T13:24:04.171505,9.14,111.7,13.04,1.17,9.5,104.4,2025-05-20 13:24:04.171505
