sailing_id,route,vessel,etd_iso,eta_iso,head_deg,etd
Portsmouth_Jersey_20250518_1800_0,Portsmouth→Jersey,Channel Star,2025-05-18T18:00:00,2025-05-19T04:00:00,218.9,2025-05-18 18:00:00
Portsmouth_Jersey_20250518_0600_1,Portsmouth→Jersey,Island Spirit,2025-05-18T06:00:00,2025-05-18T16:00:00,214.4,2025-05-18 06:00:00
St. Malo_Jersey_20250518_0600_2,St. Malo→Jersey,Celtic Voyager,2025-05-18T06:00:00,2025-05-18T15:00:00,298.4,2025-05-18 06:00:00
St. Malo_Jersey_20250518_1200_3,St. Malo→Jersey,Celtic Voyager,2025-05-18T12:00:00,2025-05-18T21:00:00,303.1,2025-05-18 12:00:00
St. Malo_Jersey_20250518_1800_4,St. Malo→Jersey,Celtic Voyager,2025-05-18T18:00:00,2025-05-19T03:00:00,295.6,2025-05-18 18:00:00
Poole_Jersey_20250518_1800_5,Poole→Jersey,Jersey Clipper,2025-05-18T18:00:00,2025-05-19T02:00:00,206.0,2025-05-18 18:00:00
Portsmouth_Jersey_20250519_0600_6,Portsmouth→Jersey,Island Spirit,2025-05-19T06:00:00,2025-05-19T16:00:00,215.0,2025-05-19 06:00:00
Portsmouth_Jersey_20250519_1200_7,Portsmouth→Jersey,Island Spirit,2025-05-19T12:00:00,2025-05-19T22:00:00,216.7,2025-05-19 12:00:00
St. Malo_Jersey_20250519_0600_8,St. Malo→Jersey,Celtic Voyager,2025-05-19T06:00:00,2025-05-19T15:00:00,298.4,2025-05-19 06:00:00
St. Malo_Jersey_20250519_1800_9,St. Malo→Jersey,Celtic Voyager,2025-05-19T18:00:00,2025-05-20T03:00:00,308.7,2025-05-19 18:00:00
Poole_Jersey_20250519_0600_10,Poole→Jersey,Jersey Clipper,2025-05-19T06:00:00,2025-05-19T14:00:00,197.7,2025-05-19 06:00:00
Poole_Jersey_20250519_1800_11,Poole→Jersey,Jersey Clipper,2025-05-19T18:00:00,2025-05-20T02:00:00,209.0,2025-05-19 18:00:00
Portsmouth_Jersey_20250520_1200_12,Portsmouth→Jersey,Channel Star,2025-05-20T12:00:00,2025-05-20T22:00:00,213.4,2025-05-20 12:00:00
Portsmouth_Jersey_20250520_0600_13,Portsmouth→Jersey,Channel Star,2025-05-20T06:00:00,2025-05-20T16:00:00,215.3,2025-05-20 06:00:00
Portsmouth_Jersey_20250520_1800_14,Portsmouth→Jersey,Island Spirit,2025-05-20T18:00:00,2025-05-21T04:00:00,217.4,2025-05-20 18:00:00
St. Malo_Jersey_20250520_0600_15,St. Malo→Jersey,Celtic Voyager,2025-05-20T06:00:00,2025-05-20T15:00:00,300.7,2025-05-20 06:00:00
St. Malo_Jersey_20250520_1800_16,St. Malo→Jersey,Celtic Voyager,2025-05-20T18:00:00,2025-05-21T03:00:00,306.1,2025-05-20 18:00:00
Poole_Jersey_20250520_0600_17,Poole→Jersey,Jersey Clipper,2025-05-20T06:00:00,2025-05-20T14:00:00,196.6,2025-05-20 06:00:00
Portsmouth_Jersey_20250521_1800_18,Portsmouth→Jersey,Island Spirit,2025-05-21T18:00:00,2025-05-22T04:00:00,223.2,2025-05-21 18:00:00
Portsmouth_Jersey_20250521_0600_19,Portsmouth→Jersey,Island Spirit,2025-05-21T06:00:00,2025-05-21T16:00:00,225.1,2025-05-21 06:00:00
St. Malo_Jersey_20250521_1200_20,St. Malo→Jersey,Celtic Voyager,2025-05-21T12:00:00,2025-05-21T21:00:00,302.5,2025-05-21 12:00:00
St. Malo_Jersey_20250521_1800_21,St. Malo→Jersey,Celtic Voyager,2025-05-21T18:00:00,2025-05-22T03:00:00,301.5,2025-05-21 18:00:00
St. Malo_Jersey_20250521_0600_22,St. Malo→Jersey,Celtic Voyager,2025-05-21T06:00:00,2025-05-21T15:00:00,300.0,2025-05-21 06:00:00
Poole_Jersey_20250521_0600_23,Poole→Jersey,Jersey Clipper,2025-05-21T06:00:00,2025-05-21T14:00:00,201.3,2025-05-21 06:00:00
Poole_Jersey_20250521_1800_24,Poole→Jersey,Jersey Clipper,2025-05-21T18:00:00,2025-05-22T02:00:00,197.3,2025-05-21 18:00:00
Portsmouth_Jersey_20250522_1200_25,Portsmouth→Jersey,Channel Star,2025-05-22T12:00:00,2025-05-22T22:00:00,219.8,2025-05-22 12:00:00
Portsmouth_Jersey_20250522_1800_26,Portsmouth→Jersey,Channel Star,2025-05-22T18:00:00,2025-05-23T04:00:00,218.4,2025-05-22 18:00:00
Portsmouth_Jersey_20250522_0600_27,Portsmouth→Jersey,Island Spirit,2025-05-22T06:00:00,2025-05-22T16:00:00,217.3,2025-05-22 06:00:00
St. Malo_Jersey_20250522_1200_28,St. Malo→Jersey,Celtic Voyager,2025-05-22T12:00:00,2025-05-22T21:00:00,302.2,2025-05-22 12:00:00
St. Malo_Jersey_20250522_1800_29,St. Malo→Jersey,Celtic Voyager,2025-05-22T18:00:00,2025-05-23T03:00:00,298.5,2025-05-22 18:00:00
Poole_Jersey_20250522_1200_30,Poole→Jersey,Jersey Clipper,2025-05-22T12:00:00,2025-05-22T20:00:00,199.3,2025-05-22 12:00:00
Poole_Jersey_20250522_0600_31,Poole→Jersey,Jersey Clipper,2025-05-22T06:00:00,2025-05-22T14:00:00,198.9,2025-05-22 06:00:00
Poole_Jersey_20250522_1800_32,Poole→Jersey,Jersey Clipper,2025-05-22T18:00:00,2025-05-23T02:00:00,199.9,2025-05-22 18:00:00
Portsmouth_Jersey_20250523_1800_33,Portsmouth→Jersey,Channel Star,2025-05-23T18:00:00,2025-05-24T04:00:00,217.3,2025-05-23 18:00:00
Portsmouth_Jersey_20250523_1200_34,Portsmouth→Jersey,Island Spirit,2025-05-23T12:00:00,2025-05-23T22:00:00,232.2,2025-05-23 12:00:00
Portsmouth_Jersey_20250523_0600_35,Portsmouth→Jersey,Island Spirit,2025-05-23T06:00:00,2025-05-23T16:00:00,219.8,2025-05-23 06:00:00
St. Malo_Jersey_20250523_1200_36,St. Malo→Jersey,Celtic Voyager,2025-05-23T12:00:00,2025-05-23T21:00:00,302.7,2025-05-23 12:00:00
St. Malo_Jersey_20250523_1800_37,St. Malo→Jersey,Celtic Voyager,2025-05-23T18:00:00,2025-05-24T03:00:00,303.2,2025-05-23 18:00:00
St. Malo_Jersey_20250523_0600_38,St. Malo→Jersey,Celtic Voyager,2025-05-23T06:00:00,2025-05-23T15:00:00,301.6,2025-05-23 06:00:00
Poole_Jersey_20250523_1800_39,Poole→Jersey,Jersey Clipper,2025-05-23T18:00:00,2025-05-24T02:00:00,202.4,2025-05-23 18:00:00
Poole_Jersey_20250523_0600_40,Poole→Jersey,Jersey Clipper,2025-05-23T06:00:00,2025-05-23T14:00:00,200.1,2025-05-23 06:00:00
Portsmouth_Jersey_20250524_1200_41,Portsmouth→Jersey,Channel Star,2025-05-24T12:00:00,2025-05-24T22:00:00,213.9,2025-05-24 12:00:00
Portsmouth_Jersey_20250524_0600_42,Portsmouth→Jersey,Channel Star,2025-05-24T06:00:00,2025-05-24T16:00:00,221.6,2025-05-24 06:00:00
St. Malo_Jersey_20250524_0600_43,St. Malo→Jersey,Celtic Voyager,2025-05-24T06:00:00,2025-05-24T15:00:00,302.5,2025-05-24 06:00:00
St. Malo_Jersey_20250524_1800_44,St. Malo→Jersey,Celtic Voyager,2025-05-24T18:00:00,2025-05-25T03:00:00,300.3,2025-05-24 18:00:00
St. Malo_Jersey_20250524_1200_45,St. Malo→Jersey,Celtic Voyager,2025-05-24T12:00:00,2025-05-24T21:00:00,298.2,2025-05-24 12:00:00
Poole_Jersey_20250524_1200_46,Poole→Jersey,Jersey Clipper,2025-05-24T12:00:00,2025-05-24T20:00:00,192.3,2025-05-24 12:00:00
Poole_Jersey_20250524_1800_47,Poole→Jersey,Jersey Clipper,2025-05-24T18:00:00,2025-05-25T02:00:00,200.2,2025-05-24 18:00:00
Portsmouth_Jersey_20250525_1200_48,Portsmouth→Jersey,Channel Star,2025-05-25T12:00:00,2025-05-25T22:00:00,221.0,2025-05-25 12:00:00
Portsmouth_Jersey_20250525_1800_49,Portsmouth→Jersey,Island Spirit,2025-05-25T18:00:00,2025-05-26T04:00:00,219.4,2025-05-25 18:00:00
Portsmouth_Jersey_20250525_0600_50,Portsmouth→Jersey,Island Spirit,2025-05-25T06:00:00,2025-05-25T16:00:00,214.2,2025-05-25 06:00:00
St. Malo_Jersey_20250525_0600_51,St. Malo→Jersey,Celtic Voyager,2025-05-25T06:00:00,2025-05-25T15:00:00,297.3,2025-05-25 06:00:00
Poole_Jersey_20250525_1800_52,Poole→Jersey,Jersey Clipper,2025-05-25T18:00:00,2025-05-26T02:00:00,193.2,2025-05-25 18:00:00
Poole_Jersey_20250525_1200_53,Poole→Jersey,Jersey Clipper,2025-05-25T12:00:00,2025-05-25T20:00:00,203.3,2025-05-25 12:00:00
Poole_Jersey_20250525_0600_54,Poole→Jersey,Jersey Clipper,2025-05-25T06:00:00,2025-05-25T14:00:00,205.1,2025-05-25 06:00:00
Portsmouth_Jersey_20250526_0600_55,Portsmouth→Jersey,Channel Star,2025-05-26T06:00:00,2025-05-26T16:00:00,220.0,2025-05-26 06:00:00
Portsmouth_Jersey_20250526_1200_56,Portsmouth→Jersey,Channel Star,2025-05-26T12:00:00,2025-05-26T22:00:00,220.5,2025-05-26 12:00:00
St. Malo_Jersey_20250526_1200_57,St. Malo→Jersey,Celtic Voyager,2025-05-26T12:00:00,2025-05-26T21:00:00,293.4,2025-05-26 12:00:00
St. Malo_Jersey_20250526_1800_58,St. Malo→Jersey,Celtic Voyager,2025-05-26T18:00:00,2025-05-27T03:00:00,306.7,2025-05-26 18:00:00
Poole_Jersey_20250526_1800_59,Poole→Jersey,Jersey Clipper,2025-05-26T18:00:00,2025-05-27T02:00:00,208.8,2025-05-26 18:00:00
Poole_Jersey_20250526_1200_60,Poole→Jersey,Jersey Clipper,2025-05-26T12:00:00,2025-05-26T20:00:00,194.8,2025-05-26 12:00:00
Poole_Jersey_20250526_0600_61,Poole→Jersey,Jersey Clipper,2025-05-26T06:00:00,2025-05-26T14:00:00,194.7,2025-05-26 06:00:00
Portsmouth_Jersey_20250527_1200_62,Portsmouth→Jersey,Channel Star,2025-05-27T12:00:00,2025-05-27T22:00:00,214.9,2025-05-27 12:00:00
Portsmouth_Jersey_20250527_1800_63,Portsmouth→Jersey,Channel Star,2025-05-27T18:00:00,2025-05-28T04:00:00,219.5,2025-05-27 18:00:00
Portsmouth_Jersey_20250527_0600_64,Portsmouth→Jersey,Island Spirit,2025-05-27T06:00:00,2025-05-27T16:00:00,224.2,2025-05-27 06:00:00
St. Malo_Jersey_20250527_1200_65,St. Malo→Jersey,Celtic Voyager,2025-05-27T12:00:00,2025-05-27T21:00:00,307.9,2025-05-27 12:00:00
St. Malo_Jersey_20250527_0600_66,St. Malo→Jersey,Celtic Voyager,2025-05-27T06:00:00,2025-05-27T15:00:00,300.1,2025-05-27 06:00:00
Poole_Jersey_20250527_1800_67,Poole→Jersey,Jersey Clipper,2025-05-27T18:00:00,2025-05-28T02:00:00,196.3,2025-05-27 18:00:00
Poole_Jersey_20250527_0600_68,Poole→Jersey,Jersey Clipper,2025-05-27T06:00:00,2025-05-27T14:00:00,198.8,2025-05-27 06:00:00
Poole_Jersey_20250527_1200_69,Poole→Jersey,Jersey Clipper,2025-05-27T12:00:00,2025-05-27T20:00:00,198.8,2025-05-27 12:00:00
Portsmouth_Jersey_20250528_1200_70,Portsmouth→Jersey,Channel Star,2025-05-28T12:00:00,2025-05-28T22:00:00,222.4,2025-05-28 12:00:00
Portsmouth_Jersey_20250528_0600_71,Portsmouth→Jersey,Channel Star,2025-05-28T06:00:00,2025-05-28T16:00:00,220.6,2025-05-28 06:00:00
Portsmouth_Jersey_20250528_1800_72,Portsmouth→Jersey,Channel Star,2025-05-28T18:00:00,2025-05-29T04:00:00,224.7,2025-05-28 18:00:00
St. Malo_Jersey_20250528_0600_73,St. Malo→Jersey,Celtic Voyager,2025-05-28T06:00:00,2025-05-28T15:00:00,301.7,2025-05-28 06:00:00
St. Malo_Jersey_20250528_1200_74,St. Malo→Jersey,Celtic Voyager,2025-05-28T12:00:00,2025-05-28T21:00:00,311.3,2025-05-28 12:00:00
St. Malo_Jersey_20250528_1800_75,St. Malo→Jersey,Celtic Voyager,2025-05-28T18:00:00,2025-05-29T03:00:00,303.7,2025-05-28 18:00:00
Poole_Jersey_20250528_1800_76,Poole→Jersey,Jersey Clipper,2025-05-28T18:00:00,2025-05-29T02:00:00,188.3,2025-05-28 18:00:00
Poole_Jersey_20250528_1200_77,Poole→Jersey,Jersey Clipper,2025-05-28T12:00:00,2025-05-28T20:00:00,201.6,2025-05-28 12:00:00
Portsmouth_Jersey_20250529_1200_78,Portsmouth→Jersey,Channel Star,2025-05-29T12:00:00,2025-05-29T22:00:00,215.3,2025-05-29 12:00:00
Portsmouth_Jersey_20250529_0600_79,Portsmouth→Jersey,Channel Star,2025-05-29T06:00:00,2025-05-29T16:00:00,217.8,2025-05-29 06:00:00
St. Malo_Jersey_20250529_1200_80,St. Malo→Jersey,Celtic Voyager,2025-05-29T12:00:00,2025-05-29T21:00:00,309.7,2025-05-29 12:00:00
St. Malo_Jersey_20250529_0600_81,St. Malo→Jersey,Celtic Voyager,2025-05-29T06:00:00,2025-05-29T15:00:00,295.8,2025-05-29 06:00:00
Poole_Jersey_20250529_0600_82,Poole→Jersey,Jersey Clipper,2025-05-29T06:00:00,2025-05-29T14:00:00,195.0,2025-05-29 06:00:00
Poole_Jersey_20250529_1800_83,Poole→Jersey,Jersey Clipper,2025-05-29T18:00:00,2025-05-30T02:00:00,197.4,2025-05-29 18:00:00
Portsmouth_Jersey_20250530_1200_84,Portsmouth→Jersey,Island Spirit,2025-05-30T12:00:00,2025-05-30T22:00:00,225.3,2025-05-30 12:00:00
Portsmouth_Jersey_20250530_1800_85,Portsmouth→Jersey,Channel Star,2025-05-30T18:00:00,2025-05-31T04:00:00,221.4,2025-05-30 18:00:00
St. Malo_Jersey_20250530_1800_86,St. Malo→Jersey,Celtic Voyager,2025-05-30T18:00:00,2025-05-31T03:00:00,300.9,2025-05-30 18:00:00
St. Malo_Jersey_20250530_0600_87,St. Malo→Jersey,Celtic Voyager,2025-05-30T06:00:00,2025-05-30T15:00:00,301.1,2025-05-30 06:00:00
Poole_Jersey_20250530_1800_88,Poole→Jersey,Jersey Clipper,2025-05-30T18:00:00,2025-05-31T02:00:00,199.6,2025-05-30 18:00:00
Poole_Jersey_20250530_1200_89,Poole→Jersey,Jersey Clipper,2025-05-30T12:00:00,2025-05-30T20:00:00,197.4,2025-05-30 12:00:00
Poole_Jersey_20250530_0600_90,Poole→Jersey,Jersey Clipper,2025-05-30T06:00:00,2025-05-30T14:00:00,194.8,2025-05-30 06:00:00
Portsmouth_Jersey_20250531_0600_91,Portsmouth→Jersey,Island Spirit,2025-05-31T06:00:00,2025-05-31T16:00:00,218.8,2025-05-31 06:00:00
St. Malo_Jersey_20250531_1200_92,St. Malo→Jersey,Celtic Voyager,2025-05-31T12:00:00,2025-05-31T21:00:00,297.4,2025-05-31 12:00:00
St. Malo_Jersey_20250531_0600_93,St. Malo→Jersey,Celtic Voyager,2025-05-31T06:00:00,2025-05-31T15:00:00,301.3,2025-05-31 06:00:00
St. Malo_Jersey_20250531_1800_94,St. Malo→Jersey,Celtic Voyager,2025-05-31T18:00:00,2025-06-01T03:00:00,302.9,2025-05-31 18:00:00
Poole_Jersey_20250531_1200_95,Poole→Jersey,Jersey Clipper,2025-05-31T12:00:00,2025-05-31T20:00:00,196.6,2025-05-31 12:00:00
Poole_Jersey_20250531_0600_96,Poole→Jersey,Jersey Clipper,2025-05-31T06:00:00,2025-05-31T14:00:00,203.3,2025-05-31 06:00:00
Portsmouth_Jersey_20250601_0600_97,Portsmouth→Jersey,Channel Star,2025-06-01T06:00:00,2025-06-01T16:00:00,220.9,2025-06-01 06:00:00
Portsmouth_Jersey_20250601_1200_98,Portsmouth→Jersey,Channel Star,2025-06-01T12:00:00,2025-06-01T22:00:00,224.3,2025-06-01 12:00:00
St. Malo_Jersey_20250601_1200_99,St. Malo→Jersey,Celtic Voyager,2025-06-01T12:00:00,2025-06-01T21:00:00,292.6,2025-06-01 12:00:00
St. Malo_Jersey_20250601_1800_100,St. Malo→Jersey,Celtic Voyager,2025-06-01T18:00:00,2025-06-02T03:00:00,307.4,2025-06-01 18:00:00
Poole_Jersey_20250601_1200_101,Poole→Jersey,Jersey Clipper,2025-06-01T12:00:00,2025-06-01T20:00:00,200.3,2025-06-01 12:00:00
Poole_Jersey_20250601_1800_102,Poole→Jersey,Jersey Clipper,2025-06-01T18:00:00,2025-06-02T02:00:00,200.5,2025-06-01 18:00:00
Portsmouth_Jersey_20250602_0600_103,Portsmouth→Jersey,Channel Star,2025-06-02T06:00:00,2025-06-02T16:00:00,223.9,2025-06-02 06:00:00
Portsmouth_Jersey_20250602_1200_104,Portsmouth→Jersey,Island Spirit,2025-06-02T12:00:00,2025-06-02T22:00:00,216.6,2025-06-02 12:00:00
Portsmouth_Jersey_20250602_1800_105,Portsmouth→Jersey,Channel Star,2025-06-02T18:00:00,2025-06-03T04:00:00,219.4,2025-06-02 18:00:00
St. Malo_Jersey_20250602_1200_106,St. Malo→Jersey,Celtic Voyager,2025-06-02T12:00:00,2025-06-02T21:00:00,296.1,2025-06-02 12:00:00
Poole_Jersey_20250602_1200_107,Poole→Jersey,Jersey Clipper,2025-06-02T12:00:00,2025-06-02T20:00:00,200.8,2025-06-02 12:00:00
Poole_Jersey_20250602_0600_108,Poole→Jersey,Jersey Clipper,2025-06-02T06:00:00,2025-06-02T14:00:00,194.1,2025-06-02 06:00:00
Poole_Jersey_20250602_1800_109,Poole→Jersey,Jersey Clipper,2025-06-02T18:00:00,2025-06-03T02:00:00,195.2,2025-06-02 18:00:00
Portsmouth_Jersey_20250603_0600_110,Portsmouth→Jersey,Island Spirit,2025-06-03T06:00:00,2025-06-03T16:00:00,222.3,2025-06-03 06:00:00
Portsmouth_Jersey_20250603_1200_111,Portsmouth→Jersey,Island Spirit,2025-06-03T12:00:00,2025-06-03T22:00:00,223.2,2025-06-03 12:00:00
Portsmouth_Jersey_20250603_1800_112,Portsmouth→Jersey,Island Spirit,2025-06-03T18:00:00,2025-06-04T04:00:00,218.2,2025-06-03 18:00:00
St. Malo_Jersey_20250603_1200_113,St. Malo→Jersey,Celtic Voyager,2025-06-03T12:00:00,2025-06-03T21:00:00,303.9,2025-06-03 12:00:00
Poole_Jersey_20250603_0600_114,Poole→Jersey,Jersey Clipper,2025-06-03T06:00:00,2025-06-03T14:00:00,196.1,2025-06-03 06:00:00
Poole_Jersey_20250603_1200_115,Poole→Jersey,Jersey Clipper,2025-06-03T12:00:00,2025-06-03T20:00:00,198.4,2025-06-03 12:00:00
